"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"171","pulpe de pui dezosate fara piele agricola per kg","1749 Lei/kg","pulpe superioare de pui, fara  piele si os, preambalate ","1649 Lei/kg","pulpe de pui dezosate fara piele agricola per kg",101,"1779 Lei/kg","pulpe de pui dezosate fara piele agricola per kg",101,"1499 Lei/kg","pulpe de pui dezosate fara piele agricola per kg",101
"172","rahat cu aroma de fructe sultan 400g","560 Lei/bucata","rahat simplu, diferite arome  - vrac ","545 Lei/bucata","rahat cu aroma de fructe sultan 400g",101,"560 Lei/bucata","rahat cu aroma de fructe sultan 400g",101,"560 Lei/bucata","rahat cu aroma de fructe sultan 400g",101
"173","rinichi de porc per kg","799 Lei/kg","rinichi de porc  ","649 Lei/kg","rinichi de porc per kg",101,"899 Lei/kg","rasol de porc per kg",82,"899 Lei/kg","rasol de porc per kg",82
"174","rosii import","399 Lei/kg","tomate (rosii) de cimp  ","9.99 Lei/kilogram","pere rosii",73,"20.99 Lei/kilogram","banane rosii kg",59,"399 Lei/kg","rosii import",101
"175","rulada cu crema si gem de capsune pan group rollini d'oro 180g","255 Lei/bucata","rulada cu gem sau crema  (180-300 g) ","249 Lei/bucata","rulada cu crema si gem de capsune pan group rollini d'oro 180g",101,"255 Lei/bucata","rulada cu crema si gem de capsune pan group rollini d'oro 180g",101,"255 Lei/bucata","rulada cu crema si gem de capsune pan group rollini d'oro 180g",101
"176","salam de sibiu feliat agricola 150g","1069 Lei/bucata","salam de sibiu  ","1107 Lei/bucata","salam de sibiu feliat agricola 150g",101,"1119 Lei/bucata","salam de sibiu feliat agricola 150g",101,"1135 Lei/bucata","salam de sibiu feliat agricola 150g",101
"177","salam de vara aldis 400g","893 Lei/bucata","salam de vara  ","893 Lei/bucata","salam de vara aldis 400g",101,"750 Lei/bucata","salam de vara uscat aldis 300g",88,"750 Lei/bucata","salam de vara uscat aldis 300g",88
"178","salam italian dublu afumat in vid caroli 600g","1240 Lei/bucata","salam italian  ","1070 Lei/bucata","salam italian dublu afumat in vid caroli 600g",101,"1200 Lei/bucata","salam italian dublu afumat in vid caroli 600g",101,"1200 Lei/bucata","salam italian dublu afumat in vid caroli 600g",101
"179","salam sasesc cris-tim 300g","1000 Lei/bucata","salam bacau, dacia, carpati,  salonta, sasesc, banatean ","1000 Lei/bucata","salam sasesc cris-tim 300g",101,"999 Lei/bucata","salam sasesc cris-tim 300g",101,"1219 Lei/bucata","salam sasesc cris-tim 300g",101
"180","salam victoria cris-tim 800g","1955 Lei/bucata","salam victoria  ","1715 Lei/bucata","salam victoria cris-tim 800g",101,"2019 Lei/bucata","salam victoria cris-tim 800g",101,"1845 Lei/bucata","salam victoria cris-tim 800g",101
"181","salata de icre de crap si ceapa negro 2000 150g","459 Lei/bucata","salata de icre crap (cutie  plastic 100-200 g) ","469 Lei/bucata","salata de icre de crap si ceapa negro 2000 150g",101,"459 Lei/bucata","salata de icre de crap si ceapa negro 2000 150g",101,"459 Lei/bucata","salata de icre de crap si ceapa negro 2000 150g",101
"182","salata verde romania per bucata","189 Lei/bucata","salata verde, de cimp  ","189 Lei/bucata","salata verde romania per bucata",101,"459 Lei/buc","salata iceberg (bucata)",76,"139 Lei/bucata","salata verde romania per bucata",101
"183","salatini brezels sare 80g","092 Lei/bucata","biscuiti salatini""""  ","092 Lei/bucata","salatini brezels sare 80g",101,"092 Lei/bucata","salatini brezels sare 80g",101,"092 Lei/bucata","salatini brezels sare 80g",101
"184","sana covalact 3.6% grasime 900g","529 Lei/bucata","sana (sticla plastic 800-  1000 g) ","497 Lei/bucata","sana covalact 3.6% grasime 900g",101,"489 Lei/bucata","sana covalact 3.6% grasime 900g",101,"589 Lei/bucata","sana covalact 3.6% grasime 900g",101
"185","saratele cu cascaval monte banato 125g","220 Lei/bucata","saratele (ambalate in pungi)  (100-125 g) ","235 Lei/bucata","saratele cu cascaval monte banato 125g",101,"245 Lei/bucata","saratele cu cascaval monte banato 125g",101,"245 Lei/bucata","saratele cu cascaval monte banato 125g",101
"186","sardina bucati in ulei baltic club 240g","630 Lei/bucata","sardina in ulei (cutie de 120-  200 g) ","529 Lei/bucata","sardina bucati in ulei baltic club 240g",101,"630 Lei/bucata","sardina bucati in ulei baltic club 240g",101,"630 Lei/bucata","sardina bucati in ulei baltic club 240g",101
"187","sare iodata extrafina defne 1kg","220 Lei/bucata","sare extra, iodata (cutie  carton de 1000 g) ","220 Lei/bucata","sare iodata extrafina defne 1kg",101,"220 Lei/bucata","sare iodata extrafina defne 1kg",101,"220 Lei/bucata","sare iodata extrafina defne 1kg",101
"188","sare marina grunjoasa solaris 500g","275 Lei/bucata","sare grunjoasa  ","709","musli 500g solaris",80,"275 Lei/bucata","sare marina grunjoasa solaris 500g",101,"275 Lei/bucata","sare marina grunjoasa solaris 500g",101
"189","smantana 12% grasime albalact 200g","235 Lei/bucata","smintina (pahar plastic  175-200 ml) ","239 Lei/bucata","smantana albalact 12% grasime 200g",100,"249 Lei/bucata","smantana 12% grasime albalact 200g",101,"249 Lei/bucata","smantana 12% grasime albalact 200g",101
"190","smantana 12% grasime albalact 900g","789 Lei/bucata","smintina la galetusa, 12%  grasime (800-1000 ml) ","812 Lei/bucata","smantana albalact 12% grasime 900g",100,"829 Lei/bucata","smantana 12% grasime albalact 900g",101,"829 Lei/bucata","smantana 12% grasime albalact 900g",101
"191","soia felii inedit 100g","200 Lei/bucata","soia felii (punga 100-200 g)  ","175 Lei/bucata","soia felii inedit 100g",101,"200 Lei/bucata","soia felii inedit 100g",101,"200 Lei/bucata","soia felii inedit 100g",101
"192","sos de maioneza spring 550ml","660 Lei/bucata","maioneza (borcan sau bidon  plastic de 250-550 g) ","660 Lei/bucata","sos de maioneza spring 550ml",101,"799 Lei/buc","sos de maioneza 435g spring",90,"7.85 Lei/buc 17.44 litru","sos maioneza spring 450ml",91
"193","sos pentru paste cu busuioc cirio 420g","900 Lei/bucata","sos pentru paste, diverse  sortimente (borcan 350-425 g) ","900 Lei/bucata","sos pentru paste cu busuioc cirio 420g",101,"880 Lei/bucata","sos pentru paste cu busuioc cirio 420g",101,"880 Lei/bucata","sos pentru paste cu busuioc cirio 420g",101
"194","spaghetti panzani express 3 min. 500g","565 Lei/bucata","spaghetti - import (pachet  de 500 g) ","565 Lei/bucata","spaghetti panzani express 3min. 500g",99,"565 Lei/bucata","spaghetti panzani express 3 min. 500g",101,"565 Lei/bucata","spaghetti panzani express 3 min. 500g",101
"195","stafide aurii carrefour 250g","549 Lei/bucata","stafide - vrac  ","299 Lei/bucata","stafide aurii carrefour 250g",101,"399 Lei/bucata","stafide aurii carrefour 250g",101,"499 Lei/bucata","stafide aurii carrefour 250g",101
"196","sunca curcan feliata ifantis 200g","849 Lei/bucata","sunca de curcan  ","630 Lei/bucata","sunca curcan feliata ifantis 200g",101,"849 Lei/bucata","sunca curcan feliata ifantis 200g",101,"849 Lei/bucata","sunca curcan feliata ifantis 200g",101
"197","sunca presata neafumata aldis per kg","2590 Lei/kg","sunca presata, de porc  ","2590 Lei/kg","sunca presata neafumata aldis per kg",101,"2590 Lei/kg","sunca presata neafumata aldis per kg",101,"2590 Lei/kg","sunca presata neafumata aldis per kg",101
"198","supa instant de pui cu taitei knorr 59g","290 Lei/bucata","supa de pui cu legume knorr""""  (pachet de 50-70 g) ","5.63 Lei/buc 66.24 kilogram","taitei de orez instant cu gust de pui mild vifon kurczak 85g",76,"290 Lei/bucata","supa instant de pui cu taitei knorr 59g",101,"290 Lei/bucata","supa instant de pui cu taitei knorr 59g",101
"199","taitei lungi cu ou monte banato 200g","234 Lei/bucata","taitei cu ou (punga de  200-400 g) ","234 Lei/bucata","taitei lungi cu ou monte banato 200g",101,"219 Lei/bucata","taitei lungi cu ou monte banato 200g",101,"230 Lei/bucata","taitei lungi cu ou monte banato 200g",101
"200","telemea de capra olympus 350g","1199 Lei/bucata","brinza (telemea) din lapte de  capra ","1125 Lei/bucata","telemea de capra olympus 350g",101,"1090 Lei/bucata","telemea de capra olympus 350g",101,"1245 Lei/bucata","telemea de capra olympus 350g",101
"201","telemea de oaie olympus 350g","1260 Lei/bucata","brinza (telemea) din lapte de  oaie ","1090 Lei/bucata","telemea de oaie olympus 350g",101,"1079 Lei/bucata","telemea de oaie olympus 350g",101,"1260 Lei/bucata","telemea de oaie olympus 350g",101
"202","telemea de vaca natur hochland 350g","955 Lei/bucata","brinza (telemea) din lapte de  vaca ","955 Lei/bucata","telemea de vaca natur hochland 350g",101,"810 Lei/bucata","telemea de vaca natur hochland 350g",101,"955 Lei/bucata","telemea de vaca natur hochland 350g",101
"203","toast graham, feliat carrefour 600g","349 Lei/bucata","piine graham  ","349 Lei/bucata","toast graham, feliat carrefour 600g",101,"349 Lei/bucata","toast secara feliat carrefour 600g",89,"349 Lei/bucata","toast graham, feliat carrefour 600g",101
"204","toba casa angst per kg","3090 Lei/kg","toba  ","3090 Lei/kg","toba casa angst per kg",101,"3090 Lei/kg","toba casa angst per kg",101,"3090 Lei/kg","toba casa angst per kg",101
"205","tocana de leguma mandy foods 300g","320 Lei/bucata","tocana de legume (borcan de  300-370 ml) ","320 Lei/bucata","tocana de leguma mandy foods 300g",101,"320 Lei/bucata","tocana de leguma mandy foods 300g",101,"390 Lei/bucata","tocana de leguma mandy foods 300g",101
"206","ton maruntit in ulei vegetal hame ocean 185g","463 Lei/bucata","ton in ulei (cutie de 185 g)  ","429 Lei/bucata","ton maruntit in ulei vegetal hame ocean 185g",101,"463 Lei/bucata","ton maruntit in ulei vegetal hame ocean 185g",101,"463 Lei/bucata","ton maruntit in ulei vegetal hame ocean 185g",101
"207","ulei de floarea soarelui floriol 1l","589 Lei/bucata","ulei de floarea soarelui,  dublu rafinat tip floriol""""  sau bunica""""","575 Lei/bucata","ulei de floarea soarelui floriol 1l",101,"610 Lei/bucata","ulei de floarea soarelui floriol 1l",101,"606 Lei/bucata","ulei de floarea soarelui floriol 1l",101
"208","ulei de floarea soarelui unisol 1l","571 Lei/bucata","ulei de floarea soarelui,  dublu rafinat ","570 Lei/bucata","ulei de floarea soarelui unisol 1l",101,"539 Lei/bucata","ulei de floarea soarelui unisol 1l",101,"557 Lei/bucata","ulei de floarea soarelui unisol 1l",101
"209","ulei de floarea-soarelui untdelemn de la bunica 1l","575 Lei/bucata","ulei de floarea soarelui,  dublu rafinat tip floriol""""  sau bunica""""","577 Lei/bucata","ulei de floarea-soarelui untdelemn de la bunica 1l",101,"575 Lei/bucata","ulei de floarea-soarelui untdelemn de la bunica 1l",101,"575 Lei/bucata","ulei de floarea-soarelui untdelemn de la bunica 1l",101
"210","ulei de masline extra virgin mueloliva 500ml","2000 Lei/bucata","ulei de masline (sticla de  500 ml) ","1800 Lei/bucata","ulei de masline extra virgin mueloliva 500ml",101,"2000 Lei/bucata","ulei de masline extra virgin mueloliva 500ml",101,"2000 Lei/bucata","ulei de masline extra virgin mueloliva 500ml",101
"211","unt de masa lacto solomonescu 65% grasime 200g","530 Lei/bucata","unt de masa, cu 65% grasime  (pachet de 200 g) ","449 Lei/bucata","unt de masa lacto solomonescu 65% grasime 200g",101,"645 Lei/bucata","unt de masa lacto solomonescu 65% grasime 200g",101,"645 Lei/bucata","unt de masa lacto solomonescu 65% grasime 200g",101
"212","unt oldenburger 82% grasime 250g","1140 Lei/bucata","unt - import (pachet de  250 g) ","950 Lei/bucata","unt oldenburger 82% grasime 250g",101,"1160 Lei/bucata","unt oldenburger 82% grasime 250g",101,"1440 Lei/bucata","unt oldenburger 82% grasime 250g",101
"213","unt superior covalact 80% grasime 200g","860 Lei/bucata","unt de masa, cca. 80% grasime  (pachet de 200 g) ","689 Lei/bucata","unt superior covalact 80% grasime 200g",101,"749 Lei/bucata","unt superior covalact 80% grasime 200g",101,"950 Lei/bucata","unt superior covalact 80% grasime 200g",101
"214","zacusca traditionala mandy 300g","410 Lei/bucata","zacusca traditionala (borcan  270-315 g) ","410 Lei/bucata","zacusca traditionala mandy 300g",101,"345 Lei/bucata","zacusca taraneasca mandy 300g",83,"4.97 4.16 Lei/buc 13.87 kilogram","mandy zacusca 300g",100
"215","zahar brun auriu gold demerara 500g","709 Lei/bucata","zahar brun (500 g)  ","620 Lei/bucata","zahar brun auriu gold demerara 500g",101,"620 Lei/bucata","zahar brun auriu gold demerara 500g",101,"620 Lei/bucata","zahar brun auriu gold demerara 500g",101
"216","zahar brun dark demerara 500g","709 Lei/bucata","zahar brun (500 g)  ","620 Lei/bucata","zahar brun dark demerara 500g",101,"470 Lei/buc","zahar brun dark 500g demerara",100,"470 Lei/buc","zahar brun dark 500g demerara",100
"217","zahar cubic margaritar 500g","285 Lei/bucata","zahar cubic, preambalat  (500 g) ","300 Lei/bucata","zahar cubic margaritar 500g",101,"285 Lei/bucata","zahar cubic margaritar 500g",101,"285 Lei/bucata","zahar cubic margaritar 500g",101
"218","zahar pudra margaritar 500g","315 Lei/bucata","zahar pudra, preambalat  (500 g) ","315 Lei/bucata","zahar pudra margaritar 500g",101,"315 Lei/bucata","zahar pudra margaritar 500g",101,"315 Lei/bucata","zahar pudra margaritar 500g",101
"219","zahar vanilat dr.oetker bourbon 8g","120 Lei/bucata","zahar vanilat (plic de 8-10 g)  ","090 Lei/bucata","zahar vanilat dr.oetker bourbon 8g",101,"120 Lei/bucata","zahar vanilat dr.oetker bourbon 8g",101,"120 Lei/bucata","zahar vanilat dr.oetker bourbon 8g",101
"220","lamai kg","8.99 Lei/kilogram","lamii  ","8.99 Lei/kilogram","lamai kg",101,"5.99 Lei/kilogram","lamai kg",101,"5.99 Lei/kilogram","lamai kg",101
"221","nectarine","3.99 Lei/kilogram","nectarine  ","6.99 Lei/kilogram","nectarine",101,"4.99 3.79 Lei/kilogram","mandarine kg",57,"4.99 3.79 Lei/kilogram","mandarine kg",57
"222","piersici","3.49 Lei/kilogram","piersici  ","3.59 Lei/kilogram","piersici",101,"5.99 Lei/kilogram","piersici",101,"399 Lei/bucata","suc de piersici ciao 2 l",100
"223","mere idared kg","3.99 Lei/kilogram","mere  ","3.99 Lei/kilogram","mere idared kg",101,"3.99 Lei/kilogram","mere idared kg",101,"3.99 Lei/kilogram","mere idared kg",101
"224","mere golden","4.49 Lei/kilogram","mere  ","3.99 Lei/kilogram","mere golden",101,"3.79 2.79 Lei/kilogram","mere golden",101,"3.79 2.79 Lei/kilogram","mere golden",101
"225","portocale","5.69 Lei/kilogram","portocale  ","4.99 Lei/kilogram","portocale",101,"6.99 Lei/kilogram","portocale",101,"6.99 Lei/kilogram","portocale",101
"226","grapefruit rosu","7.49 Lei/kilogram","grapefruit  ","9.49 Lei/kilogram","grapefruit rosu",101,"8.49 Lei/kilogram","grapefruit rosu",101,"599 Lei/kg","grapefruit rosu",101
"227","struguri albi","7.49 Lei/kilogram","struguri de masa  ","10.99 Lei/kilogram","struguri albi",101,"6.79 Lei/kilogram","struguri albi",101,"6.99 Lei/kilogram","struguri albi",101
"228","prune","2.49 Lei/kilogram","prune proaspete  ","899 Lei/kg","prune",101,"4.99 Lei/kilogram","prune",101,"4.99 Lei/kilogram","prune",101
"229","kiwi / vrac","10.99 Lei/kilogram","kiwi  ","9.99 Lei/kilogram","kiwi / vrac",101,"6.49 Lei/kilogram","kiwi / vrac",101,"6.49 5.99 Lei/kilogram","kiwi / vrac",101
"230","ananas","6.99 Lei/kilogram","compot de ananas - import  (cutie metalica de 565 ml) ","5.99 Lei/kilogram","ananas",101,"5.99 4.49 Lei/kilogram","ananas",101,"5.99 4.49 Lei/kilogram","ananas",101
"231","winny stafide 250g","3.51 Lei/buc 14.04 kilogram","stafide - vrac  ","3.47 Lei/buc 13.88 kilogram","winny stafide 250g",101,"3.52 Lei/buc 14.08 kilogram","winny stafide 250g",101,"3.52 Lei/buc 14.08 kilogram","winny stafide 250g",101
"232","morcovi kg","1.59 Lei/kilogram","morcovi  ","1.99 Lei/kilogram","morcovi kg",101,"1.69 Lei/kilogram","morcovi kg",101,"1.59 Lei/kilogram","morcovi kg",101
"233","ardei gras bianca","2.49 Lei/kilogram","ardei gras, de cimp  ","4.99 Lei/kilogram","ardei gras bianca",101,"4.99 Lei/kilogram","ardei gras bianca",101,"4.99 Lei/kilogram","ardei gras bianca",101
"234","ceapa galbena","1.29 Lei/kilogram","ceapa uscata  ","1.69 Lei/kilogram","ceapa galbena",101,"1.29 Lei/kilogram","ceapa galbena",101,"1.29 Lei/kilogram","ceapa galbena",101
"235","rosii proaspete","3.29 Lei/kilogram","tomate (rosii) de cimp  ","4.49 Lei/kilogram","rosii proaspete",101,"4.99 Lei/kilogram","rosii proaspete",101,"5.49 Lei/kilogram","rosii proaspete",101
"236","castraveti cornichon","2.19 Lei/kilogram","castraveti proaspeti, de cimp  ","2.49 Lei/kilogram","castraveti cornichon",101,"5.49 Lei/kilogram","castraveti cornichon",101,"5.49 Lei/kilogram","castraveti cornichon",101
"237","dovlecei","1.29 Lei/kilogram","dovlecei  ","1.99 Lei/kilogram","dovlecei",101,"4.99 Lei/kilogram","dovlecei",101,"4.99 Lei/kilogram","dovlecei",101
"238","varza alba","0.99 Lei/kilogram","varza alba dulce, timpurie si  de vara ","149 Lei/bucata","varza alba tocata carrefour 220g",100,"1.49 Lei/kilogram","varza alba",101,"1.29 Lei/kilogram","varza alba",101
"239","cartofi rosii","1.29 Lei/kilogram","cartofi de toamna  ","2.49 Lei/kilogram","cartofi rosii noi kg",100,"1.29 Lei/kilogram","cartofi rosii",101,"1.29 Lei/kilogram","cartofi rosii",101
"240","olympia bors 1l","1.90 Lei/buc 1.90 litru","bors (sticla sau punga plastic  1 l) ","1.92 Lei/buc 1.92 litru","olympia bors 1l",101,"1.93 Lei/buc 1.93 litru","olympia bors 1l",101,"1.93 Lei/buc 1.93 litru","olympia bors 1l",101
"241","ciuperci champignon kg","8.99 Lei/kilogram","ciuperci champignon"" (de""  cultura) ","8.99 Lei/kilogram","ciuperci champignon kg",101,"9.99 Lei/kilogram","ciuperci champignon kg",101,"9.99 Lei/kilogram","ciuperci champignon kg",101
"242","sfecla rosie kg","1.69 Lei/kilogram","sfecla rosie  ","1.79 Lei/buc 1.79 kilogram","sfecla rosie noua",89,"1.29 Lei/kilogram","sfecla rosie kg",101,"1.19 Lei/kilogram","sfecla rosie kg",101
"243","fasole alba kg","6.99 Lei/kilogram","fasole uscata  ","5.99 Lei/kilogram","fasole alba kg",101,"7.49 Lei/kilogram","fasole alba kg",101,"7.49 Lei/kilogram","fasole alba kg",101
"244","salata verde","1.89 Lei/buc","salata verde, de cimp  ","1.69 Lei/buc","salata verde",101,"1.99 Lei/buc","salata verde",101,"1.99 Lei/buc","salata verde",101
"245","pulpa de pui cu spate durdulan","8.42 Lei/kilogram","pulpe pui, preambalate  ","8.42 Lei/kilogram","pulpa de pui cu spate durdulan",101,"8.49 Lei/kilogram","pulpa de pui cu spate durdulan",101,"8.49 Lei/kilogram","pulpa de pui cu spate durdulan",101
"246","fragedo ficat pui","14.06 Lei/kilogram","ficat pui, preambalat  ","14.06 Lei/kilogram","fragedo ficat pui",101,"13.99 11.99 Lei/kilogram","fragedo ficat pui",101,"13.99 11.99 Lei/kilogram","fragedo ficat pui",101
"247","carne tocata de porc cora","11.69 Lei/kilogram","carne tocata amestec (porc si  vita) ","13.99 Lei/kilogram","carne tocata de porc cora",101,"14.49 Lei/kilogram","carne tocata de porc cora",101,"14.49 Lei/kilogram","carne tocata de porc cora",101
"248","fragedo piept pui dezosat","21.97 Lei/kilogram","piept de pui, dezosat,  preambalat ","21.97 Lei/kilogram","fragedo piept pui dezosat",101,"21.99 Lei/kilogram","fragedo piept pui dezosat",101,"21.99 Lei/kilogram","fragedo piept pui dezosat",101
"249","fragedo pipote si inimi","13.18 Lei/kilogram","pipote si inimi de pui si  gaina, preambalate ","13.18 Lei/kilogram","fragedo pipote si inimi",101,"13.18 11.99 Lei/kilogram","fragedo pipote si inimi",101,"13.18 11.99 Lei/kilogram","fragedo pipote si inimi",101
"250","cora amestec carne tocata porc si vita","13.99 Lei/kilogram","carne tocata amestec (porc si  vita) ","16.69 Lei/kilogram","cora amestec carne tocata porc si vita",101,"16.99 14.99 Lei/kilogram","cora amestec carne tocata porc si vita",101,"16.99 14.99 Lei/kilogram","cora amestec carne tocata porc si vita",101
"251","cora cotlet de porc fara os","20.99 Lei/kilogram","ceafa, cotlet fara os si  slanina ","20.99 Lei/kilogram","cora cotlet de porc fara os",101,"20.99 Lei/kilogram","cora cotlet de porc fara os",101,"20.99 Lei/kilogram","cora cotlet de porc fara os",101
"252","fragedo transavia aripioare de pui fara varf","13.18 Lei/kilogram","aripi de pui, preambalate  ","13.18 Lei/kilogram","fragedo transavia aripioare de pui fara varf",101,"12.99 Lei/kilogram","fragedo transavia aripioare de pui fara varf",101,"12.99 Lei/kilogram","fragedo transavia aripioare de pui fara varf",101
"253","carne de porc pentru snitel","18.99 Lei/kilogram","carne porc, fara os si slanina  (pulpa) ","14.99 Lei/kilogram","carne de porc pentru snitel",101,"19.99 Lei/kilogram","carne de porc pentru snitel",101,"19.99 Lei/kilogram","carne de porc pentru snitel",101
"254","cora pulpa porc fara os","16.99 Lei/kilogram","carne porc, fara os si slanina  (pulpa) ","16.99 Lei/kilogram","cora pulpa porc fara os",101,"16.99 13.49 Lei/kilogram","cora pulpa porc fara os",101,"16.99 13.49 Lei/kilogram","cora pulpa porc fara os",101
"255","cora muschiulet porc","26.99 Lei/kilogram","muschi de porc, fasonat  ","26.99 Lei/kilogram","cora muschiulet porc",101,"26.99 Lei/kilogram","cora muschiulet porc",101,"26.99 Lei/kilogram","cora muschiulet porc",101
"256","piept de pui cu os fragedo","14.06 Lei/kilogram","piept pasare,cu os, preambalat  ","14.06 Lei/kilogram","piept de pui cu os fragedo",101,"14.19 Lei/kilogram","piept de pui cu os fragedo",101,"14.19 Lei/kilogram","piept de pui cu os fragedo",101
"257","cora cotlet de porc cu os","16.99 Lei/kilogram","ceafa, cotlet fara os si  slanina ","16.99 Lei/kilogram","cora cotlet de porc cu os",101,"16.99 Lei/kilogram","cora cotlet de porc cu os",101,"16.99 Lei/kilogram","cora cotlet de porc cu os",101
"258","cora carne tocata de manzat","19.33 Lei/kilogram","carne tocata de vita  ","15.99 Lei/kilogram","cora carne tocata de manzat",101,"22.99 Lei/kilogram","cora carne tocata de manzat",101,"22.99 Lei/kilogram","cora carne tocata de manzat",101
"259","cora ceafa porc fara os","20.99 Lei/kilogram","ceafa, cotlet fara os si  slanina ","20.99 Lei/kilogram","cora ceafa porc fara os",101,"20.99 Lei/kilogram","cora ceafa porc fara os",101,"20.99 Lei/kilogram","cora ceafa porc fara os",101
"260","penes piept de curcan dezosat, fara piele","32.52 Lei/kilogram","piept de curcan, dezosat  ","32.52 Lei/kilogram","penes piept de curcan dezosat, fara piele",101,"32.52 Lei/kilogram","penes piept de curcan dezosat, fara piele",101,"32.52 Lei/kilogram","penes piept de curcan dezosat, fara piele",101
"261","cora rasol manzat cu os 2buc","17.99 Lei/kilogram","carne vita, minzat cu os (cap  de piept, piept, rasoale) ","19.49 Lei/kilogram","cora rasol manzat cu os 2buc",101,"19.99 Lei/kilogram","cora rasol manzat cu os 2buc",101,"19.99 Lei/kilogram","cora rasol manzat cu os 2buc",101
"262","pulpa de curcan inferioara cu os si piele galli gallo","14.06 Lei/kilogram","pulpe superioare de curcan,  cu os ","14.06 Lei/kilogram","pulpa de curcan inferioara cu os si piele galli gallo",101,"14.69 Lei/kilogram","pulpa de curcan inferioara cu os si piele galli gallo",101,"14.69 Lei/kilogram","pulpa de curcan inferioara cu os si piele galli gallo",101
"263","ferma vranceana ficat de pui","14.94 Lei/kilogram","ficat pui, preambalat  ","10.99 Lei/kilogram","ferma vranceana ficat de pui",101,"12.99 Lei/kilogram","ferma vranceana ficat de pui",101,"12.99 Lei/kilogram","ferma vranceana ficat de pui",101
"264","snitel de manzat","31.99 Lei/kilogram","carne vita, minzat fara os  (pulpa, vrabioare) ","31.99 Lei/kilogram","snitel de manzat",101,"31.99 Lei/kilogram","snitel de manzat",101,"31.99 Lei/kilogram","snitel de manzat",101
"265","cora pulpa de vitel fara os","39.99 Lei/kilogram","carne vita, minzat cu os (cap  de piept, piept, rasoale) ","39.99 Lei/kilogram","cora pulpa de vitel fara os",101,"39.99 Lei/kilogram","cora pulpa de vitel fara os",101,"39.99 Lei/kilogram","cora pulpa de vitel fara os",101
"266","galli gallo piept de curcan dezosat","33.40 Lei/kilogram","piept de curcan, dezosat  ","33.40 Lei/kilogram","galli gallo piept de curcan dezosat",101,"35.69 Lei/kilogram","galli gallo piept de curcan dezosat",101,"35.69 Lei/kilogram","galli gallo piept de curcan dezosat",101
"267","fleica de porc cora","15.99 Lei/kilogram","carne porc (fleica, piept)  ","15.99 Lei/kilogram","fleica de porc cora",101,"15.99 Lei/kilogram","fleica de porc cora",101,"15.99 Lei/kilogram","fleica de porc cora",101
"268","cora carnati de porc afumati","17.99 Lei/kilogram","cirnati de casa, semiafumati  ","17.99 Lei/kilogram","cora carnati de porc afumati",101,"17.99 Lei/kilogram","cora carnati de porc afumati",101,"17.99 Lei/kilogram","cora carnati de porc afumati",101
"269","ave pipote si inimi de pui","13.18 Lei/kilogram","pipote si inimi de pui si  gaina, preambalate ","13.18 Lei/kilogram","ave pipote si inimi de pui",101,"1299 Lei/kg","pipote si inimi de pui coco rico per kg",92,"1299 Lei/kg","pipote si inimi de pui coco rico per kg",92
"270","puiul familist agricola","9.49 Lei/kilogram","pui (fara cap, git, gheare),  preambalat ","8.49 Lei/kilogram","puiul familist agricola",101,"10.49 Lei/kilogram","puiul familist agricola",101,"10.49 Lei/kilogram","puiul familist agricola",101
"271","cora ceafa de porc afumata","25.99 Lei/kilogram","ceafa afumata  ","25.99 Lei/kilogram","cora ceafa de porc afumata",101,"25.99 Lei/kilogram","cora ceafa de porc afumata",101,"25.99 Lei/kilogram","cora ceafa de porc afumata",101
"272","vrabioara de manzat","33.99 Lei/kilogram","carne vita, minzat fara os  (pulpa, vrabioare) ","33.99 Lei/kilogram","vrabioara de manzat",101,"33.99 28.99 Lei/kilogram","vrabioara de manzat",101,"33.99 28.99 Lei/kilogram","vrabioara de manzat",101
"273","pulpa superioara de curcan penes galli gallo","29.88 Lei/kilogram","pulpe superioare de curcan,  cu os ","29.88 Lei/kilogram","pulpa superioara de curcan penes galli gallo",101,"29.99 Lei/kilogram","pulpa superioara de curcan penes galli gallo",101,"29.99 Lei/kilogram","pulpa superioara de curcan penes galli gallo",101
"274","cora jambon de porc afumat","21.99 Lei/kilogram","jambon porc, afumat  ","21.99 Lei/kilogram","cora jambon de porc afumat",101,"21.99 Lei/kilogram","cora jambon de porc afumat",101,"21.99 Lei/kilogram","cora jambon de porc afumat",101
"275","avicola focsani carnati proaspeti","16.99 Lei/kilogram","cirnati proaspeti  ","16.99 Lei/kilogram","avicola focsani carnati proaspeti",101,"16.99 Lei/kilogram","avicola focsani carnati proaspeti",101,"16.99 Lei/kilogram","avicola focsani carnati proaspeti",101
"276","cora pastrama de pui","16.52 Lei/kilogram","pastrama pui (piept, pulpe)  ","16.52 Lei/kilogram","cora pastrama de pui",101,"16.52 Lei/kilogram","cora pastrama de pui",101,"16.52 Lei/kilogram","cora pastrama de pui",101
"277","oua marimea m agricola 30buc","19.38 Lei/buc","oua de la gaini crescute la  sol (cod 1, marime m) ","18.12 Lei/buc","oua marimea m agricola 30buc",101,"19.38 Lei/buc","oua marimea m agricola 30buc",101,"19.38 Lei/buc","oua marimea m agricola 30buc",101
